iter	Passed	Remaining
0	16	16729
1	34	17193
2	50	16795
3	71	17680
4	87	17484
5	103	17072
6	120	17068
7	135	16781
8	151	16630
9	172	17064
10	192	17294
11	212	17509
12	233	17690
13	254	17914
14	279	18330
15	299	18405
16	316	18272
17	333	18191
18	351	18168
19	378	18563
20	403	18802
21	425	18932
22	448	19047
23	465	18919
24	486	18956
25	502	18840
26	518	18695
27	536	18618
28	555	18614
29	571	18477
30	594	18588
31	611	18497
32	627	18396
33	644	18319
34	663	18290
35	685	18351
36	706	18390
37	725	18358
38	742	18292
39	763	18312
40	780	18256
41	798	18205
42	815	18140
43	832	18091
44	853	18102
45	870	18058
46	892	18090
47	919	18237
48	942	18299
49	960	18243
50	979	18227
51	1017	18545
52	1052	18800
53	1079	18903
54	1108	19051
55	1135	19136
56	1177	19475
57	1223	19867
58	1280	20423
59	1308	20504
60	1340	20627
61	1362	20615
62	1390	20684
63	1411	20643
64	1433	20622
65	1457	20627
66	1489	20736
67	1525	20909
68	1550	20924
69	1580	20994
70	1608	21046
71	1647	21234
72	1682	21364
73	1715	21470
74	1743	21504
75	1774	21577
76	1811	21713
77	1845	21812
78	1916	22338
79	1968	22641
80	2002	22714
81	2052	22973
82	2096	23157
83	2128	23206
84	2162	23276
85	2196	23343
86	2225	23359
87	2249	23310
88	2281	23350
89	2306	23316
90	2335	23333
91	2370	23397
92	2405	23464
93	2475	23855
94	2508	23899
95	2549	24005
96	2582	24040
97	2607	24000
98	2638	24013
99	2676	24090
100	2702	24055
101	2729	24033
102	2751	23961
103	2785	23995
104	2850	24298
105	2909	24539
106	2952	24641
107	2986	24665
108	3017	24668
109	3042	24614
110	3063	24532
111	3163	25082
112	3217	25253
113	3254	25294
114	3271	25173
115	3286	25044
116	3310	24984
117	3332	24909
118	3354	24831
119	3374	24748
120	3393	24649
121	3410	24542
122	3425	24421
123	3440	24306
124	3459	24217
125	3479	24132
126	3499	24058
127	3520	23981
128	3537	23887
129	3556	23801
130	3574	23712
131	3592	23620
132	3606	23513
133	3622	23408
134	3645	23356
135	3664	23277
136	3682	23196
137	3706	23152
138	3726	23083
139	3746	23015
140	3769	22965
141	3792	22912
142	3821	22899
143	3839	22825
144	3861	22771
145	3879	22694
146	3899	22628
147	3916	22544
148	3931	22453
149	3946	22361
150	3971	22327
151	3989	22254
152	4010	22200
153	4026	22119
154	4045	22055
155	4061	21971
156	4077	21891
157	4093	21813
158	4113	21756
159	4134	21706
160	4151	21636
161	4170	21575
162	4191	21522
163	4207	21447
164	4224	21376
165	4238	21296
166	4255	21224
167	4273	21163
168	4291	21100
169	4305	21020
170	4320	20946
171	4339	20888
172	4360	20846
173	4383	20807
174	4412	20799
175	4442	20797
176	4466	20768
177	4492	20748
178	4522	20744
179	4548	20719
180	4571	20685
181	4595	20655
182	4620	20629
183	4646	20604
184	4667	20560
185	4701	20574
186	4727	20554
187	4768	20597
188	4797	20586
189	4821	20554
190	4858	20576
191	4884	20555
192	4911	20535
193	4933	20496
194	4953	20447
195	4972	20396
196	4994	20359
197	5012	20304
198	5031	20252
199	5046	20184
200	5061	20120
201	5078	20063
202	5096	20010
203	5115	19961
204	5134	19910
205	5151	19853
206	5168	19799
207	5194	19780
208	5212	19728
209	5227	19664
210	5245	19613
211	5259	19551
212	5275	19491
213	5292	19437
214	5313	19399
215	5330	19348
216	5347	19293
217	5361	19231
218	5376	19174
219	5393	19120
220	5413	19082
221	5428	19022
222	5442	18962
223	5459	18913
224	5481	18880
225	5513	18882
226	5529	18827
227	5547	18784
228	5567	18743
229	5583	18692
230	5600	18645
231	5622	18613
232	5639	18563
233	5657	18520
234	5674	18473
235	5694	18433
236	5707	18375
237	5733	18355
238	5750	18310
239	5767	18264
240	5784	18218
241	5799	18164
242	5815	18116
243	5835	18079
244	5851	18031
245	5882	18028
246	5897	17977
247	5914	17932
248	5928	17879
249	5941	17825
250	5955	17770
251	5967	17713
252	5982	17662
253	5996	17611
254	6016	17576
255	6035	17539
256	6053	17500
257	6067	17448
258	6082	17401
259	6095	17348
260	6107	17292
261	6119	17238
262	6137	17199
263	6150	17146
264	6166	17103
265	6187	17072
266	6203	17030
267	6216	16978
268	6236	16948
269	6249	16896
270	6263	16848
271	6275	16797
272	6290	16752
273	6304	16704
274	6323	16670
275	6342	16638
276	6365	16615
277	6383	16578
278	6401	16542
279	6419	16507
280	6436	16469
281	6455	16435
282	6477	16411
283	6499	16385
284	6519	16356
285	6536	16318
286	6552	16277
287	6569	16241
288	6585	16202
289	6602	16165
290	6626	16144
291	6642	16106
292	6659	16070
293	6674	16028
294	6693	15996
295	6711	15962
296	6730	15931
297	6749	15898
298	6767	15867
299	6787	15838
300	6803	15799
301	6819	15760
302	6833	15718
303	6851	15687
304	6867	15649
305	6881	15607
306	6894	15564
307	6908	15522
308	6923	15483
309	6940	15448
310	6957	15413
311	6970	15371
312	6985	15331
313	6999	15291
314	7012	15249
315	7028	15214
316	7043	15176
317	7058	15138
318	7074	15103
319	7091	15068
320	7110	15039
321	7125	15002
322	7138	14962
323	7156	14931
324	7174	14900
325	7193	14871
326	7207	14834
327	7232	14817
328	7257	14801
329	7277	14775
330	7292	14739
331	7310	14708
332	7325	14673
333	7348	14653
334	7365	14621
335	7385	14595
336	7405	14568
337	7421	14535
338	7435	14498
339	7452	14467
340	7468	14433
341	7485	14401
342	7500	14366
343	7517	14335
344	7542	14320
345	7558	14286
346	7573	14251
347	7591	14222
348	7607	14191
349	7623	14158
350	7638	14124
351	7653	14089
352	7666	14051
353	7685	14025
354	7700	13991
355	7714	13955
356	7730	13924
357	7744	13887
358	7758	13852
359	7772	13817
360	7784	13779
361	7801	13749
362	7815	13715
363	7830	13682
364	7847	13653
365	7864	13623
366	7877	13587
367	7889	13549
368	7903	13515
369	7916	13480
370	7931	13447
371	7944	13412
372	7957	13375
373	7970	13340
374	7990	13317
375	8006	13287
376	8021	13255
377	8036	13223
378	8047	13186
379	8062	13155
380	8080	13127
381	8093	13094
382	8106	13059
383	8118	13023
384	8132	12990
385	8147	12959
386	8162	12928
387	8176	12896
388	8190	12865
389	8207	12837
390	8224	12809
391	8239	12780
392	8260	12758
393	8278	12732
394	8299	12711
395	8319	12688
396	8338	12664
397	8355	12638
398	8372	12611
399	8387	12581
400	8403	12553
401	8419	12525
402	8439	12502
403	8457	12477
404	8477	12454
405	8494	12428
406	8509	12398
407	8523	12366
408	8536	12335
409	8551	12306
410	8570	12282
411	8583	12250
412	8600	12223
413	8615	12194
414	8629	12165
415	8643	12134
416	8659	12106
417	8674	12078
418	8688	12047
419	8700	12015
420	8713	11984
421	8729	11956
422	8743	11926
423	8758	11898
424	8774	11870
425	8791	11845
426	8806	11817
427	8822	11791
428	8840	11766
429	8859	11743
430	8874	11716
431	8890	11689
432	8906	11663
433	8960	11685
434	8986	11672
435	9020	11668
436	9038	11644
437	9055	11618
438	9081	11605
439	9102	11584
440	9123	11564
441	9145	11545
442	9168	11527
443	9198	11518
444	9222	11501
445	9244	11482
446	9265	11462
447	9302	11461
448	9323	11441
449	9345	11422
450	9368	11403
451	9387	11380
452	9407	11359
453	9425	11335
454	9442	11310
455	9463	11289
456	9482	11266
457	9503	11246
458	9524	11226
459	9558	11220
460	9578	11199
461	9601	11180
462	9622	11160
463	9645	11142
464	9674	11130
465	9697	11112
466	9727	11101
467	9745	11078
468	9763	11054
469	9785	11034
470	9806	11013
471	9827	10993
472	9855	10980
473	9878	10961
474	9908	10951
475	9941	10943
476	9967	10929
477	9992	10912
478	10036	10916
479	10058	10896
480	10079	10875
481	10102	10857
482	10119	10832
483	10136	10806
484	10155	10783
485	10181	10768
486	10204	10749
487	10221	10724
488	10241	10702
489	10254	10673
490	10271	10648
491	10285	10619
492	10300	10592
493	10317	10567
494	10336	10545
495	10356	10523
496	10371	10497
497	10385	10468
498	10399	10441
499	10415	10415
500	10429	10387
501	10444	10361
502	10460	10335
503	10475	10309
504	10492	10284
505	10508	10259
506	10522	10232
507	10534	10203
508	10547	10174
509	10562	10148
510	10577	10121
511	10591	10094
512	10608	10070
513	10621	10043
514	10640	10020
515	10655	9994
516	10673	9971
517	10690	9947
518	10706	9922
519	10724	9899
520	10739	9874
521	10753	9846
522	10768	9821
523	10789	9801
524	10809	9780
525	10832	9761
526	10849	9738
527	10867	9714
528	10884	9691
529	10902	9668
530	10920	9645
531	10942	9625
532	10957	9600
533	10973	9575
534	10995	9556
535	11010	9531
536	11032	9512
537	11048	9487
538	11065	9464
539	11081	9439
540	11098	9415
541	11113	9391
542	11129	9366
543	11144	9341
544	11158	9315
545	11171	9289
546	11185	9263
547	11199	9237
548	11212	9211
549	11228	9186
550	11245	9163
551	11258	9137
552	11271	9110
553	11284	9084
554	11295	9057
555	11310	9031
556	11324	9006
557	11340	8982
558	11354	8957
559	11368	8932
560	11381	8906
561	11392	8879
562	11406	8854
563	11421	8829
564	11433	8802
565	11448	8778
566	11456	8749
567	11470	8723
568	11486	8700
569	11501	8676
570	11518	8653
571	11534	8630
572	11550	8607
573	11564	8582
574	11577	8557
575	11588	8530
576	11600	8504
577	11612	8478
578	11628	8455
579	11642	8430
580	11662	8410
581	11684	8392
582	11706	8373
583	11727	8353
584	11742	8330
585	11773	8317
586	11788	8294
587	11806	8272
588	11823	8250
589	11843	8229
590	11862	8209
591	11879	8186
592	11894	8163
593	11909	8139
594	11924	8116
595	11939	8093
596	11952	8068
597	11965	8043
598	11986	8024
599	12001	8000
600	12016	7977
601	12031	7954
602	12042	7928
603	12057	7905
604	12072	7882
605	12085	7857
606	12098	7833
607	12110	7808
608	12121	7782
609	12139	7761
610	12152	7737
611	12170	7715
612	12185	7692
613	12196	7667
614	12210	7643
615	12220	7617
616	12232	7593
617	12244	7568
618	12256	7543
619	12267	7518
620	12283	7496
621	12296	7472
622	12309	7448
623	12321	7424
624	12334	7400
625	12346	7376
626	12360	7353
627	12373	7329
628	12386	7305
629	12396	7280
630	12408	7256
631	12421	7232
632	12435	7209
633	12445	7184
634	12461	7162
635	12480	7142
636	12494	7120
637	12508	7097
638	12520	7073
639	12532	7049
640	12544	7025
641	12556	7001
642	12570	6979
643	12588	6958
644	12602	6936
645	12619	6915
646	12636	6894
647	12658	6876
648	12677	6856
649	12693	6834
650	12711	6814
651	12726	6792
652	12742	6771
653	12758	6749
654	12772	6727
655	12788	6706
656	12805	6685
657	12821	6664
658	12837	6642
659	12857	6623
660	12871	6601
661	12884	6578
662	12900	6557
663	12912	6533
664	12924	6510
665	12935	6487
666	12952	6466
667	12965	6444
668	12981	6422
669	12997	6401
670	13012	6380
671	13026	6358
672	13039	6335
673	13054	6314
674	13067	6291
675	13078	6268
676	13093	6247
677	13106	6224
678	13119	6202
679	13130	6179
680	13143	6156
681	13159	6136
682	13171	6113
683	13186	6092
684	13200	6070
685	13213	6048
686	13223	6024
687	13234	6001
688	13248	5979
689	13259	5957
690	13270	5934
691	13284	5912
692	13298	5891
693	13315	5871
694	13328	5849
695	13339	5826
696	13352	5804
697	13365	5782
698	13395	5768
699	13406	5745
700	13417	5722
701	13431	5701
702	13443	5679
703	13458	5658
704	13472	5637
705	13486	5616
706	13500	5594
707	13514	5573
708	13526	5551
709	13537	5529
710	13548	5506
711	13559	5484
712	13573	5463
713	13584	5441
714	13597	5419
715	13615	5400
716	13632	5380
717	13648	5360
718	13669	5342
719	13685	5321
720	13702	5302
721	13718	5282
722	13734	5262
723	13751	5242
724	13767	5222
725	13789	5204
726	13809	5185
727	13824	5165
728	13838	5144
729	13854	5124
730	13868	5103
731	13883	5082
732	13897	5062
733	13913	5042
734	13931	5022
735	13948	5003
736	13966	4983
737	13981	4963
738	13995	4942
739	14009	4922
740	14021	4900
741	14033	4879
742	14046	4858
743	14063	4839
744	14079	4819
745	14093	4798
746	14115	4780
747	14134	4761
748	14153	4743
749	14172	4724
750	14188	4704
751	14205	4684
752	14225	4666
753	14244	4647
754	14260	4627
755	14278	4608
756	14299	4590
757	14321	4572
758	14346	4555
759	14368	4537
760	14388	4518
761	14416	4502
762	14436	4484
763	14456	4465
764	14474	4446
765	14493	4427
766	14518	4410
767	14541	4392
768	14565	4375
769	14585	4356
770	14602	4337
771	14631	4321
772	14648	4301
773	14666	4282
774	14683	4262
775	14700	4243
776	14714	4223
777	14736	4204
778	14756	4186
779	14772	4166
780	14787	4146
781	14801	4126
782	14815	4106
783	14834	4086
784	14847	4066
785	14862	4046
786	14876	4026
787	14890	4006
788	14906	3986
789	14921	3966
790	14934	3945
791	14947	3925
792	14959	3904
793	14973	3884
794	14986	3864
795	14997	3843
796	15007	3822
797	15019	3801
798	15035	3782
799	15049	3762
800	15062	3742
801	15078	3722
802	15090	3702
803	15103	3682
804	15118	3662
805	15132	3642
806	15145	3622
807	15156	3601
808	15169	3581
809	15184	3561
810	15197	3541
811	15209	3521
812	15220	3500
813	15232	3480
814	15246	3460
815	15260	3441
816	15275	3421
817	15287	3401
818	15300	3381
819	15312	3361
820	15326	3341
821	15340	3321
822	15355	3302
823	15368	3282
824	15387	3264
825	15398	3243
826	15411	3224
827	15424	3204
828	15438	3184
829	15452	3164
830	15465	3145
